status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1220332944702810_1364961856906584,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1340381206049609/,2017-06-12 13:31:31,4489,829,1,3548,651,13,43,9,130
1220332944702810_1362326790503424,Join me as I deliver the Weekly Address.,The White House,video,https://www.facebook.com/WhiteHouse/videos/1337330953021301/,2017-06-09 18:44:20,15988,4141,4,11562,2336,39,306,40,960
1220332944702810_1362109760525127,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1337521396335590/,2017-06-09 13:54:31,7997,1063,4,5809,1123,12,146,18,287
1220332944702810_1354104914658945,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1329098143844582/,2017-06-02 18:20:56,13164,7328,5,9059,2105,26,232,65,1208
1220332944702810_1352676438135126,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1328166403937756/,2017-06-01 12:21:07,13828,5295,7,8225,2311,29,126,137,2637
1220332944702810_1347462021989901,"Join me as I deliver the Weekly Address.

And read more about our Taxpayer First Budget: http://45.wh.gov/vhEZw7",The White House,video,https://www.facebook.com/WhiteHouse/videos/1321231171297946/,2017-05-26 11:27:43,15672,8304,6,11519,2204,33,791,66,748
1220332944702810_1346316848771085,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1321783091242754/,2017-05-25 06:21:45,18270,3145,3,14311,3158,41,290,21,215
1220332944702810_1343858359016934,Thank you King Salman and Saudi Arabia!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1319290288158701/,2017-05-22 08:57:34,15882,3565,6,12554,2252,67,162,30,604
1220332944702810_1342871182448985,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1318483254906071/,2017-05-21 09:32:15,11571,2506,7,8782,2096,51,281,22,176
1220332944702810_1339427896126647,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1315149785239418/,2017-05-17 10:02:03,17075,3816,5,13047,3102,58,141,35,561
1220332944702810_1337798156289621,Join me LIVE as I give remarks at the 36th Annual National Peace Officers’ Memorial Service.,President Trump Gives Remarks at the 36th Annual National Peac...,video,https://www.facebook.com/POTUS/videos/1337798156289621/,2017-05-15 10:00:09,11212,9512,2151,7256,2256,47,140,66,424
1220332944702810_1335578306511606,Join me LIVE as I deliver remarks at the Liberty University commencement ceremony.,President Trump Gives Remarks at the Liberty University Commen...,video,https://www.facebook.com/POTUS/videos/1335578306511606/,2017-05-13 09:00:08,25884,18651,5334,16405,5424,108,818,122,1060
1220332944702810_1335378089864961,Watch LIVE as I deliver the Weekly Address!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1310832392337824/,2017-05-12 11:20:11,11506,4183,3,7913,1410,30,410,52,636
1220332944702810_1331356266933810,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,,status,,2017-05-07 18:00:15,13043,5780,856,9796,377,77,360,1098,1230
1220332944702810_1329152553820848,Join me as I deliver the Weekly Address!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1304885129599217/,2017-05-05 10:02:49,12372,4354,3,8891,1677,26,219,59,1392
1220332944702810_1328655527203884,Watch LIVE as I give remarks commemorating the 75th anniversary of the Battle of the Coral Sea.,President Trump Gives Remarks Commemorating the 75th Anniversa...,video,https://www.facebook.com/POTUS/videos/1328629817206455/,2017-05-04 18:45:08,8057,7544,1098,5319,1703,31,142,44,743
1220332944702810_1328513960551374,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1304129969674733/,2017-05-04 14:21:25,12336,2188,5,8782,1905,31,85,59,1403
1220332944702810_1328292747240162,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1303862579701472/,2017-05-04 08:46:33,13866,1713,8,9766,2555,29,96,46,1306
1220332944702810_1324446304291473,"In just 14 weeks, my Administration has brought profound change to Washington... #MAGA",The White House,video,https://www.facebook.com/WhiteHouse/videos/1298314506922946/,2017-04-29 13:08:17,16874,8568,4,12276,2595,35,1343,53,515
1220332944702810_1323756087693828,Weekly Address - enjoy!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1297835996970797/,2017-04-28 16:40:46,11320,3249,3,8626,1701,27,230,38,659
1220332944702810_1323621417707295,Watch LIVE as I give remarks at the National Rifle Association Leadership Forum.,President Trump Gives Remaks at the National Rifle Association...,video,https://www.facebook.com/POTUS/videos/1323568577712579/,2017-04-28 12:30:08,13318,10102,2002,8607,2868,70,245,74,1425
1220332944702810_1322926331110137,Join me LIVE at the U.S. Department of Veterans Affairs as I give remarks and sign an Executive Order on Improving Accountability and Whistleblower Protection.,President Trump Signs an Executive Order on Improving Accounta...,video,https://www.facebook.com/POTUS/videos/1322853431117427/,2017-04-27 15:40:19,11623,5019,2021,8623,2353,39,168,36,366
1220332944702810_1322189047850532,"HAPPY BIRTHDAY to our First Lady, Melania! 45.wh.gov/9zVkh6",The White House,photo,https://www.facebook.com/WhiteHouse/photos/a.1199645353456529.1073741828.1191441824276882/1295850077169389/?type=3,2017-04-26 18:09:01,47452,4987,2,40194,6664,80,330,30,116
1220332944702810_1322073381195432,"Altogether, the previous administration bypassed the states to place over 265 million acres of land and water under federal control through the abuse of the monuments designation.

The Antiquities Act does not give the federal government unlimited power to lock up millions of acres of land and water, and it’s time we ended this abusive practice.",The White House,photo,https://www.facebook.com/WhiteHouse/photos/a.1199645353456529.1073741828.1191441824276882/1295660193855044/?type=3,2017-04-26 14:48:44,12003,1843,3,9568,1430,50,62,38,825
1220332944702810_1320017041401066,#CongratsPeggy!,NASA - National Aeronautics and Space Administration,video,https://www.facebook.com/NASA/videos/10155135605256772/,2017-04-24 09:03:36,7647,1672,5,6567,883,89,40,3,40
1220332944702810_1319952978074139,Tune in today at 10am EDT as I congratulate NASA Astronaut Peggy Whitson! #CongratsPeggy https://www.nasa.gov/nasalive,NASA - National Aeronautics and Space Administration,photo,https://www.facebook.com/NASA/photos/a.67899501771.69169.54971236771/10155133858181772/?type=3,2017-04-24 07:23:23,7048,622,1,6184,631,149,32,4,25
1220332944702810_1317517731650997,My administration has offered a new vision: the well-being of the American citizen and worker will be placed second to none. Since day one I have been fighting for the hardworking people of this country. This week we took historic action to continue delivering on that promise.,The White House,video,https://www.facebook.com/WhiteHouse/videos/1289567874464276/,2017-04-21 10:22:54,20379,4314,7,16117,2945,43,780,41,430
1220332944702810_1316442961758474,A great honor to host the New England Patriots at The White House yesterday. Congratulations!,New England Patriots Visit the White House,video,https://www.facebook.com/POTUS/videos/1316442961758474/,2017-04-20 09:30:58,9826,2241,1003,8489,928,24,267,11,88
1220332944702810_1315581021844668,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1287418984679165/,2017-04-19 13:13:50,8475,808,1,6963,1137,24,114,9,210
1220332944702810_1315230668546370,"In America, we honor work. We honor grit. We honor craftsmanship. We honor the men and women who turn dreams into reality with their own two hands. In America, we honor all of you. #BuyAmericanHireAmerican

http://45.wh.gov/gSedQW",Buy American Hire American,video,https://www.facebook.com/POTUS/videos/1315230668546370/,2017-04-19 06:56:24,22650,2355,4418,19293,2790,40,355,15,141
1220332944702810_1314445538624883,"Watch LIVE as I deliver remarks at Snap-on Tools in Kenosha, WI.",President Trump Makes Remarks at Snap-on Tools,video,https://www.facebook.com/POTUS/videos/1314288348640602/,2017-04-18 14:20:08,13550,8969,2124,9366,3202,73,209,52,638
1220332944702810_1310792935656810,See everyone on Monday! Have a great weekend!!,First Lady Melania Trump,photo,https://www.facebook.com/FLOTUS/photos/a.207161326419802.1073741828.201616790307589/251746451961289/?type=3,2017-04-14 16:50:18,17713,3245,2,14708,2609,37,221,18,103
1220332944702810_1310501405685963,,The White House,video,https://www.facebook.com/WhiteHouse/videos/1281363821951348/,2017-04-14 11:06:49,12192,2114,3,9341,2255,27,93,18,440
